,Price,author,bookName,peapleNum,pubTime,publishing,score,level,hotlevel
64,19.50元,[法国] 儒尔·凡尔纳,海底两万里,42284,2002-9,译林出版社,8.4,B,A
65,10.00元,[英] 乔治·奥威尔,动物农场,54933,2007-3,上海译文出版社,9.2,A,A
66,36.00,[英]克莱儿·麦克福尔,摆渡人,65213,2015-6-1,百花洲文艺出版社,6.2,C,A
67,19.00,[英] 阿加莎・克里斯蒂,无人生还,61321,2008-3,人民文学出版社,8.9,B,A
68,55,麦家,人生海海,2173,2019-4-16,北京十月文艺出版社,8.3,B,D
69,29.80元,(法)马克·李维,偷影子的人,70637,2012-6-20,湖南文艺出版社,7.8,B,A
70,20.00元,路遥,人生,31181,2009-5,北京十月文艺出版社,8.4,B,A
71,49.80,[日] 是枝裕和、[日] 佐野晶,如父如子,7512,2018-4,湖南文艺出版社,8.9,B,C
72,45.00,[日] 是枝裕和,小偷家族,4677,2019-1,北京联合出版公司,8.6,B,D
73,69.00,[美] 雷蒙德·钱德勒,漫长的告别,8092,2018-9,海南出版社,8.3,B,C
74,CNY 79.60,马伯庸,长安十二时辰 上,19399,2017-1-1,湖南文艺出版社,8.4,B,B
75,27.30元,（英）勃朗特、张玲、张扬,呼啸山庄,78318,1999-01-01,人民文学出版社,8.4,B,A
76,20.00元,[日] 黑柳彻子 著、岩崎千弘 图,窗边的小豆豆,96439,2003-1,南海出版公司,8.7,B,A
77,13.50元,（法）莫泊桑,羊脂球,63785,2007-6,北京燕山出版社,8.1,B,A
78,18.00元,[英] 阿加莎·克里斯蒂,东方快车谋杀案,62209,2006-5,人民文学出版社,9.0,B,A
79,32.80,【英】蕾秋·乔伊斯,一个人的朝圣,50330,2013-9-1,北京联合出版公司,8.1,B,A
80,49.00元,班宇,冬泳,4738,2018-11,理想国丨上海三联书店,8.3,B,D
81,62.00,[意] 埃莱娜·费兰特,离开的，留下的,16253,2017-10,人民文学出版社,8.7,B,B
82,42.00元,张嘉佳,云边有个小卖部,11252,2018-7,湖南文艺出版社,7.9,B,C
83,0.36元,鲁迅,呐喊,57582,1973年3月,人民文学出版社,8.9,B,A
84,CNY 79.80,路遥,平凡的世界,24630,2012-3-1,"北京出版集团公司,北京十月文艺出版社",9.0,B,B
85,25.00元,天下霸唱,鬼吹灯之精绝古城,55590,2006,安徽文艺出版社,8.1,B,A
86,39.80元,蔡崇达,皮囊,63577,2014-12-1,天津人民出版社,7.6,B,A
87,96.0,金庸,天龙八部,75767,1994-5,生活.读书.新知三联书店,9.1,A,A
88,26.50元,[英] J. K. 罗琳,哈利·波特与阿兹卡班的囚徒,100803,2000-9,人民文学出版社,9.0,B,A
89,160 TWD,三毛,撒哈拉的故事,115781,1976,皇冠出版社,9.0,B,A
90,36.00元,[瑞典] 弗雷德里克·巴克曼,时间的礼物,2511,2019-1-1,天津人民出版社,7.5,B,D
91,45.00,Priest,默读,14088,2018-1,百花洲文艺出版社,8.4,B,B
92,39.80元,[英] J. K. 罗琳,哈利·波特与火焰杯,97025,2001-5,人民文学出版社,9.0,B,A
93,12.80元,张爱玲,红玫瑰与白玫瑰,58201,1996-06,花城出版社,8.4,B,A
94,28.00元,[美] 卡勒德·胡赛尼,灿烂千阳,71147,2007-9,上海人民出版社,8.8,B,A
95,66.00元,[英] J. K. 罗琳,哈利·波特与死亡圣器,76210,2007-10,人民文学出版社,9.0,B,A
96,14.50元,鲁迅 著、丰子恺 绘,阿Q正传,49446,2003-7,上海书店出版社,8.7,B,A
97,49.00元,[英] 道格拉斯·亚当斯,全能侦探社,856,2019-1,浦睿文化·湖南文艺出版社,8.1,B,E
